,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
156,The Love I Lost (feat. Teddy Pendergrass) - Single Version,Black & Blue (Expanded Edition) (feat. Teddy Pendergrass),Harold Melvin & The Blue Notes,01-02-73,213853,43,0.62,0.146,0.62,0.869,6.48E-06,0.576,-4.514,0.0499,123.573,4
157,I Miss You (feat. Teddy Pendergrass),Harold Melvin & The Blue Notes (feat. Teddy Pendergrass),Harold Melvin & The Blue Notes,01-01-72,518000,42,0.438,0.641,0.438,0.528,4.46E-05,0.582,-9.385,0.0424,129.893,4
158,You Know How to Make Me Feel so Good (feat. Sharon Paige),Wake Up Everybody (feat. Teddy Pendergrass),Harold Melvin & The Blue Notes,01-11-75,316893,39,0.528,0.58,0.528,0.444,0,0.372,-11.824,0.0279,90.575,4
159,Hope That We Can Be Together Soon (feat. Sharon Paige),To Be True (Expanded Edition) (feat. Teddy Pendergrass),Harold Melvin & The Blue Notes,01-03-74,222000,36,0.576,0.0492,0.576,0.444,4.02E-06,0.0994,-15.514,0.0704,61.753,4
160,Heaven Must Be Missing An Angel - Pt. 1,It Only Takes a Minute: A Lifetime with Tavares,Tavares,01-01-96,389760,58,0.605,0.0266,0.605,0.881,3.28E-06,0.81,-4.891,0.0462,117.178,4
161,More Than A Woman - Remastered,Anthology,Tavares,01-01-04,208000,57,0.702,0.185,0.702,0.803,0,0.562,-9.129,0.0418,108.499,4
162,Don't Take Away The Music,Anthology,Tavares,01-01-04,373226,46,0.722,0.0276,0.722,0.858,1.84E-05,0.311,-8.009,0.0472,127.512,4
163,Heaven Must Be Missing an Angel - Radio Edit,Heaven Must be Missing an Angel / More Than a Woman,Tavares,01-01-94,233880,46,0.68,0.00145,0.68,0.576,0.0765,0.0551,-13.531,0.0343,119.591,4
164,It Only Takes A Minute,In The City,Tavares,05-07-75,241386,38,0.642,0.104,0.642,0.664,0.102,0.658,-8.087,0.0334,122.598,4
165,A Penny for Your Thoughts,New Directions (Bonus Track Version),Tavares,05-11-10,270066,42,0.537,0.6,0.537,0.469,0,0.109,-7.941,0.0324,136.536,4
166,Hard Core Poetry - Remastered,Anthology,Tavares,01-01-04,266600,37,0.392,0.634,0.392,0.319,0.000214,0.26,-11.837,0.0287,127.449,4
167,Never Had A Love Like This Before,Anthology,Tavares,01-01-04,274693,36,0.716,0.695,0.716,0.509,1.35E-06,0.221,-9.89,0.0652,94.422,4
168,In The Eyes Of Love,In The City,Tavares,05-07-75,224160,13,0.426,0.76,0.426,0.399,0.271,0.235,-9.256,0.0287,117.139,4
169,Free Ride,In The City,Tavares,05-07-75,177933,5,0.621,0.157,0.621,0.7,0.385,0.0708,-7.916,0.0392,122.713,4
170,Purple Rain,Purple Rain,Prince,25-06-84,520786,75,0.367,0.0353,0.367,0.452,0.00228,0.689,-10.422,0.0307,113.066,4
171,Kiss,Parade - Music from the Motion Picture Under the Cherry Moon,Prince,31-03-86,226240,73,0.898,0.0135,0.898,0.271,0.00138,0.0461,-12.238,0.091,111.485,4
172,When Doves Cry,Purple Rain,Prince,25-06-84,352906,72,0.729,0.0102,0.729,0.989,4.45E-05,0.443,-4.613,0.049,126.47,4
173,Raspberry Beret,Around the World in a Day,Prince,22-04-85,215173,66,0.761,0.21,0.761,0.67,0.000426,0.0685,-12.759,0.0438,120.752,4
174,Let's Go Crazy,Purple Rain,Prince,25-06-84,280000,64,0.309,0.0192,0.309,0.93,0.0022,0.106,-6.399,0.125,195.815,4
175,1999,1999,Prince,27-10-82,379266,63,0.866,0.137,0.866,0.73,0,0.0843,-8.201,0.0767,118.523,4
176,I Would Die 4 U,Purple Rain,Prince,25-06-84,178986,61,0.731,0.0862,0.731,0.75,0.000388,0.202,-10.457,0.0321,135.406,4
177,I Wanna Be Your Lover,Prince,Prince,19-10-79,347666,60,0.812,0.0399,0.812,0.507,0.0831,0.0671,-8.825,0.0452,114.832,4
178,Welcome 2 America,Welcome 2 America,Prince,08-04-21,323813,60,0.528,0.437,0.528,0.314,6.37E-05,0.352,-15.118,0.223,169.854,3
179,"Little Red Corvette (7"" Edit) - 2019 Remaster",1999 (Super Deluxe Edition),Prince,29-11-19,188373,42,0.788,0.148,0.788,0.81,1.23E-05,0.84,-6.176,0.0877,123.007,4
180,Relight My Fire - Single Version,Relight My Fire (Expanded Edition),Dan Hartman,01-06-79,225893,54,0.787,0.0148,0.787,0.662,0,0.328,-11.447,0.0378,119.734,4
181,Instant Replay,Instant Replay (Expanded Edition),Dan Hartman,01-06-78,320480,36,0.73,0.0296,0.73,0.723,3.47E-05,0.0552,-7.545,0.0682,128.996,4
182,Vertigo/Relight My Fire,Keep The Fire Burnin',Dan Hartman,1994,682866,43,0.739,0.00852,0.739,0.829,0.674,0.285,-5.337,0.0346,120.856,4
183,"Relight My Fire - 12"" Disco Remix",Relight My Fire (Expanded Edition),Dan Hartman,01-06-79,406213,38,0.767,0.0477,0.767,0.783,5.97E-06,0.0709,-10.406,0.0368,120.611,4
184,We Are the Young,Keep The Fire Burnin',Dan Hartman,1994,257733,33,0.661,0.000832,0.661,0.898,2.93E-06,0.0686,-6.234,0.0419,115.046,4
185,Vertigo / Relight My Fire,Relight My Fire,Dan Hartman,02-05-79,584373,29,0.732,0.155,0.732,0.828,0.000623,0.191,-10.122,0.0301,120.55,4
186,Free Ride,Keep The Fire Burnin',Dan Hartman,1994,422706,28,0.733,0.0482,0.733,0.963,0.329,0.126,-4.364,0.0374,126.961,4
187,Living In America,Keep The Fire Burnin',Dan Hartman,1994,427266,12,0.785,0.00114,0.785,0.813,0.0275,0.0529,-6.18,0.0357,113.438,4
188,Instant Replay,Keep The Fire Burnin',Dan Hartman,1994,320333,44,0.754,0.0158,0.754,0.724,0.000405,0.0611,-6.058,0.0656,128.925,4
189,On the Telephone,Images,Dan Hartman,1976,261546,3,0.63,0.289,0.63,0.947,7.96E-06,0.137,-5.293,0.0332,140.921,4
190,Runaway,Anthology Vol. 2,The Salsoul Orchestra,1975,285933,37,0.674,0.0804,0.674,0.767,0.000312,0.0788,-7.268,0.0747,109.8,4
191,Getaway,Anthology Vol. 2,The Salsoul Orchestra,1975,258973,34,0.681,0.153,0.681,0.904,0.892,0.0556,-7.384,0.0552,108.896,4
192,Ooh I Love It (Love Break) - Late Nite Tuff Guy Muscle Radio Edit,Ooh I Love It (Love Break) [Late Nite Tuff Guy Reworks],The Salsoul Orchestra,06-12-19,211644,31,0.852,0.000528,0.852,0.764,0.283,0.0416,-8.663,0.0653,116.992,4
193,Ooh I Love It (Love Break),Anthology Vol. 2,The Salsoul Orchestra,1975,469800,28,0.68,0.000623,0.68,0.758,0.592,0.296,-10.755,0.0722,117.63,4
194,"Chicago Bus Stop (Ooh, I Love It) - DJ Spinna ReFreak","Chicago Bus Stop (Ooh, I Love It) [DJ Spinna ReFreak]",The Salsoul Orchestra,15-06-18,460438,27,0.808,0.00158,0.808,0.478,0.081,0.0984,-10.081,0.0403,117.004,4
195,Run Away,Magic Journey,The Salsoul Orchestra,01-01-77,284613,26,0.665,0.0705,0.665,0.774,0.000518,0.103,-7.487,0.066,109.798,4
196,Tangerine,Anthology Vol. 1,The Salsoul Orchestra,1975,280866,24,0.598,0.00374,0.598,0.594,0.306,0.128,-12.706,0.0355,123.177,4
197,How High,Anthology Vol. 2,The Salsoul Orchestra,1975,376306,16,0.73,0.0875,0.73,0.805,0.058,0.0823,-8.276,0.0528,126.625,4
198,It's a New Day,Magic Journey,The Salsoul Orchestra,01-01-77,183042,7,0.618,0.08,0.618,0.9,0.00104,0.2,-7.842,0.299,136.738,4
199,Magic Bird of Fire,Magic Journey,The Salsoul Orchestra,01-01-77,302602,8,0.696,0.00658,0.696,0.787,0.839,0.367,-7.819,0.0327,127.898,4
200,And the Beat Goes On,The Whispers / Happy Holidays to You,The Whispers,01-01-79,296026,58,0.8,0.0711,0.8,0.608,0.000361,0.0466,-9.777,0.112,113.196,4
201,It's A Love Thing,The Complete Solar Hit Singles Collection,The Whispers,08-09-14,228573,51,0.807,0.274,0.807,0.785,1.04E-05,0.266,-7.718,0.12,117.725,4
202,Keep On Lovin' Me,Love Is Where You Find It / Love For Love,The Whispers,2013,340960,41,0.825,0.00693,0.825,0.401,0.412,0.0699,-12.298,0.0369,111.569,4
203,And the Beat Goes On - Single Edit,The Whispers / Happy Holidays to You,The Whispers,01-01-79,206893,44,0.815,0.0806,0.815,0.482,0.00194,0.0417,-10.577,0.132,115.273,4
204,Rock Steady,The Complete Solar Hit Singles Collection,The Whispers,08-09-14,285053,42,0.928,0.00714,0.928,0.787,2.80E-05,0.0395,-8.746,0.0614,116.375,4
205,Is It Good To You,More Of The Night,The Whispers,01-01-90,376706,40,0.732,0.357,0.732,0.48,7.24E-05,0.194,-12.382,0.0332,146.009,4
206,Say Yes,Best Slow Jams - Volume One,The Whispers,01-01-08,319546,39,0.611,0.578,0.611,0.425,1.53E-05,0.0603,-11.332,0.0472,120.15,3
207,How Long,How Long,The Whispers,10-07-20,248946,37,0.703,0.315,0.703,0.781,4.23E-06,0.0974,-5.585,0.0563,107.971,4
208,Hello Stranger,The Complete Solar Hit Singles Collection,The Whispers,08-09-14,349200,33,0.756,0.666,0.756,0.38,0.000207,0.095,-12.82,0.0279,98.25,4
209,Keep On Loving Me,And the Beat Goes On,The Whispers,1999,349466,33,0.785,0.00207,0.785,0.392,0.431,0.0703,-14.075,0.0371,110.849,4
210,Love Train,Back Stabbers,The O'Jays,01-01-72,178400,69,0.744,0.186,0.744,0.568,1.18E-05,0.163,-9.629,0.0494,122.657,4
211,Now That We Found Love,Ship Ahoy (Expanded Edition),The O'Jays,1973,281200,62,0.719,0.251,0.719,0.645,4.09E-06,0.273,-8.405,0.0387,113.965,4
212,Back Stabbers,Back Stabbers,The O'Jays,01-01-72,186093,56,0.751,0.317,0.751,0.714,0,0.639,-11.614,0.0374,124.379,4
213,For the Love of Money,Ship Ahoy (Expanded Edition),The O'Jays,1973,439866,54,0.679,0.236,0.679,0.802,2.33E-06,0.132,-7.739,0.0406,97.375,4
214,Use ta Be My Girl,The Essential O'Jays,The O'Jays,10-06-08,198173,53,0.65,0.528,0.65,0.614,0,0.167,-7.367,0.0522,111.477,4
215,I Love Music,Family Reunion (Expanded Edition),The O'Jays,01-11-75,413066,52,0.643,0.0523,0.643,0.838,6.15E-05,0.328,-8.063,0.0455,127.612,4
216,Forever Mine,Identify Yourself,The O'Jays,01-01-79,366226,52,0.478,0.289,0.478,0.416,0,0.145,-11.85,0.0592,178.186,3
217,Lovin' You,Let Me Touch You,The O'Jays,01-01-87,318253,48,0.623,0.611,0.623,0.409,2.54E-06,0.2,-10.802,0.0357,74.75,4
218,"Darlin' Darlin' Baby (Sweet, Tender, Love)",Message In The Music,The O'Jays,01-01-76,256240,46,0.668,0.454,0.668,0.739,0,0.111,-6.906,0.0391,107.942,4
219,Cry Together,So Full Of Love,The O'Jays,29-10-78,333453,45,0.344,0.742,0.344,0.299,0,0.178,-11.311,0.0614,180.521,3
220,Hung Up,Confessions on a Dance Floor,Madonna,11-11-05,337733,75,0.649,0.0039,0.649,0.647,0.161,0.0686,-7.695,0.0452,125.02,4
221,Material Girl,Celebration (double disc version),Madonna,18-09-09,240280,72,0.742,0.333,0.742,0.883,7.51E-06,0.0964,-3.419,0.0329,136.506,4
222,Like a Prayer,Celebration (double disc version),Madonna,18-09-09,342680,72,0.624,0.264,0.624,0.842,2.11E-05,0.181,-5.285,0.0376,111.037,4
223,Like a Virgin,Like a Virgin (Reissue),Madonna,12-11-84,218626,72,0.771,0.152,0.771,0.655,0.00197,0.0685,-10.842,0.0372,119.747,4
224,La Isla Bonita,True Blue (Reissue),Madonna,30-06-86,242320,71,0.725,0.302,0.725,0.612,1.63E-05,0.0548,-10.706,0.0372,99.978,4
225,4 Minutes (feat. Justin Timberlake & Timbaland),Celebration (double disc version),Madonna,18-09-09,189693,70,0.753,0.00994,0.753,0.931,0.00696,0.234,-4.922,0.0652,113.029,4
226,Vogue,The Immaculate Collection,Madonna,09-11-90,317080,61,0.748,0.00348,0.748,0.84,0.00647,0.44,-7.701,0.0421,115.997,4
227,Papa Don't Preach,True Blue (Reissue),Madonna,30-06-86,345280,65,0.807,0.311,0.807,0.906,0.000791,0.0248,-8.973,0.0371,121.54,4
228,Like a Prayer,Like a Prayer,Madonna,21-03-89,340866,65,0.66,0.432,0.66,0.629,7.30E-05,0.172,-12.359,0.0387,111.926,4
229,Crazy for You - Edit,The Immaculate Collection,Madonna,09-11-90,225626,58,0.672,0.168,0.672,0.549,0,0.102,-11.93,0.029,95.01,4
230,A Night To Remember,A Night to Remember,Shalamar,01-01-99,211253,59,0.77,0.298,0.77,0.827,0.000357,0.199,-8.754,0.0369,109.058,4
231,I Can Make You Feel Good,A Night to Remember,Shalamar,01-01-99,256773,55,0.706,0.19,0.706,0.7,5.25E-06,0.0736,-10.251,0.0289,112.805,4
232,There It Is,A Night To Remember,Shalamar,1999,265360,52,0.758,0.441,0.758,0.67,0.00195,0.105,-10.759,0.0335,102.908,4
233,The Second Time Around,The Very Best Of,Shalamar,01-01-00,223106,46,0.748,0.405,0.748,0.743,5.66E-06,0.125,-5.996,0.0433,112.184,4
234,Make That Move,The Very Best Of,Shalamar,01-01-00,225986,42,0.785,0.185,0.785,0.748,6.04E-05,0.0851,-8.965,0.0991,116.915,4
235,A Mix to Remember - 12'' Version,Nights to Remember,Shalamar,01-01-02,459986,35,0.576,0.0607,0.576,0.756,0.000804,0.242,-8.007,0.0603,108.582,4
236,Friends,Friends / Go For It,Shalamar,01-01-02,300706,34,0.776,0.0455,0.776,0.733,0.0283,0.0756,-8.478,0.0354,120.331,4
237,Take That to the Bank,A Night to Remember,Shalamar,01-01-99,204280,34,0.682,0.238,0.682,0.905,2.31E-05,0.0672,-9.396,0.0716,117.431,4
238,Dancing In the Sheets,The Very Best Of,Shalamar,01-01-00,225586,11,0.756,0.0667,0.756,0.699,0.0643,0.0635,-7.954,0.0634,123.005,4
239,Over and Over,Shalamar: Original Hits,Shalamar,20-03-06,273133,14,0.745,0.037,0.745,0.614,0,0.127,-9.055,0.0356,106.898,4
240,Your Love - Radio Edit,Your Love,Lime,1981,242733,58,0.771,0.00213,0.771,0.752,0.713,0.0414,-8.49,0.0378,138.161,4
241,Your Love - Remix,Your Love,Lime,1981,421973,47,0.799,0.00101,0.799,0.711,0.853,0.0827,-8.786,0.0474,137.992,4
242,"Babe, We're Gonna Love Tonight",Lime II,Lime,01-01-82,414600,47,0.745,0.118,0.745,0.767,0.0448,0.623,-11.859,0.0332,131.674,4
243,Unexpected Lovers - Original,Unexpected Lovers,Lime,01-01-85,393066,43,0.677,1.01E-05,0.677,0.649,0.452,0.0761,-10.521,0.0351,128.379,4
244,Come and Get Your Love,Lime II,Lime,01-01-82,487240,39,0.757,0.0425,0.757,0.659,0.12,0.065,-10.724,0.0343,131.881,4
245,"Babe, We're Gonna Love Tonight - Jacques Greene Remix","Babe, We’re Gonna Love Tonight (Jacques Greene Remix)",Lime,19-03-21,221373,38,0.654,0.104,0.654,0.64,0.94,0.105,-10.26,0.0336,127.997,4
246,Guilty,Lime 3,Lime,01-01-83,457533,37,0.686,0.00325,0.686,0.729,1.81E-05,0.0868,-12.444,0.0362,124.691,4
247,Your Love - Album Mix,Your Love,Lime,1981,437106,34,0.771,0.0048,0.771,0.772,0.741,0.0793,-9.741,0.0363,137.655,4
248,I Don't Wanna Lose You - Club Mix,Sensual Sensation,Lime,01-01-84,454293,33,0.769,3.78E-05,0.769,0.57,0.265,0.0987,-10.346,0.035,123.125,4
249,Angel Eyes,Lime 3,Lime,01-01-83,468866,31,0.7,0.00914,0.7,0.721,0.000839,0.0599,-13.696,0.055,121.785,4
250,You Make Me Feel Brand New,Rockin' Roll Baby,The Stylistics,23-10-73,288440,63,0.451,0.847,0.451,0.359,2.97E-05,0.137,-8.567,0.0247,76.015,4
251,You Are Everything,Greatest Hits,The Stylistics,01-01-92,174400,49,0.509,0.921,0.509,0.482,5.11E-05,0.327,-13.7,0.0365,141.973,4
252,Betcha by Golly Wow,Hits 100% The Stylistics,The Stylistics,17-10-14,253004,41,0.384,0.36,0.384,0.56,0.000126,0.495,-9.624,0.0298,72.077,4
253,Break Up To Make Up,The Best Of The Stylistics,The Stylistics,1974,236266,36,0.591,0.949,0.591,0.265,0.00214,0.175,-12.399,0.0243,79.515,3
254,"Stop, Look, Listen (To Your Heart)",The Stylistics - The Original Debut Album,The Stylistics,01-01-73,172946,46,0.446,0.818,0.446,0.472,0.000677,0.465,-9.042,0.0267,75.49,4
255,People Make The World Go Round,The Stylistics - The Original Debut Album,The Stylistics,01-01-73,211560,39,0.72,0.656,0.72,0.489,2.35E-06,0.357,-9.157,0.0544,83.129,4
256,Can't Give You Anything (But My Love),The Best Of The Stylistics,The Stylistics,1974,194666,44,0.524,0.431,0.524,0.809,5.17E-05,0.581,-7.556,0.0585,112.821,4
257,Hurry Up This Way Again,Hurry Up This Way Again,The Stylistics,1980,353680,44,0.765,0.279,0.765,0.572,0.000416,0.0669,-9.14,0.0508,149.829,4
258,Ebony Eyes,The Stylistics - The Original Debut Album,The Stylistics,01-01-73,138893,42,0.774,0.729,0.774,0.497,0.000169,0.0843,-9.253,0.0299,109.94,4
259,I'm Stone In Love With You,The Best Of The Stylistics,The Stylistics,1974,198760,41,0.668,0.675,0.668,0.356,0.00023,0.0725,-11.645,0.0243,97.95,4
260,Intimate Friends,Slick,Eddie Kendricks,01-08-77,353453,51,0.52,0.439,0.52,0.516,0.000299,0.0614,-9.996,0.0259,149.959,4
261,Keep On Truckin',Eddie Kendricks,Eddie Kendricks,01-01-73,479413,46,0.45,0.122,0.45,0.81,0.00963,0.0412,-9.762,0.0472,101.568,4
262,Day By Day,People... Hold On,Eddie Kendricks,01-01-72,197040,37,0.433,0.465,0.433,0.535,2.32E-05,0.24,-11.678,0.0315,74.043,4
263,My People...Hold On,People... Hold On,Eddie Kendricks,01-01-72,340200,36,0.489,0.629,0.489,0.477,0.0014,0.0763,-13.62,0.114,144.854,4
264,Girl You Need A Change Of Mind,People... Hold On,Eddie Kendricks,01-01-72,462493,35,0.472,0.143,0.472,0.724,0.0148,0.285,-12.56,0.0405,104.035,4
265,Skippin' Work Today,The Hit Man,Eddie Kendricks,01-07-75,277013,28,0.589,0.661,0.589,0.424,0.162,0.704,-12.161,0.0509,142.023,4
266,Date With The Rain,People... Hold On,Eddie Kendricks,01-01-72,160906,27,0.619,0.353,0.619,0.723,0,0.122,-12.351,0.128,123.132,4
267,If You Let Me,People... Hold On,Eddie Kendricks,01-01-72,201600,25,0.53,0.502,0.53,0.565,0,0.313,-11.812,0.0904,77.439,4
268,Any Day Now,Eddie Kendricks,Eddie Kendricks,01-01-73,308360,11,0.442,0.171,0.442,0.582,5.03E-05,0.0653,-11.108,0.0333,147.518,4
269,Boogie Down,Boogie Down,Eddie Kendricks,01-02-74,419226,12,0.741,0.637,0.741,0.602,0.702,0.114,-11.615,0.0352,115.004,4
270,You Make Me Feel (Mighty Real),Step II,Sylvester,01-01-78,400115,61,0.629,0.0309,0.629,0.851,0.303,0.0947,-11.182,0.0294,130.7,4
271,I Need Somebody To Love Tonight,Stars,Sylvester,1979,411346,45,0.73,0.798,0.73,0.356,0.895,0.0736,-17.845,0.0749,104.903,4
272,You Make Me Feel (Mighty Real) - Michael Gray Radio Edit,You Make Me Feel (Mighty Real),Sylvester,31-05-19,166538,41,0.737,0.000567,0.737,0.888,0.0062,0.273,-5.193,0.0656,124.018,4
273,Over And Over,Sylvester,Sylvester,1977,422133,40,0.481,0.00975,0.481,0.63,0.000666,0.109,-8.18,0.0344,131.466,4
274,You Make Me Feel (Mighty Real) - Michael Gray Remix,You Make Me Feel (Mighty Real) [Michael Gray Remixes],Sylvester,14-06-19,452459,39,0.779,0.000373,0.779,0.844,0.146,0.0456,-5.977,0.0628,124.001,4
275,"Dance (Disco Heat) - 12"" Version",Mighty Real: Greatest Dance Hits,Sylvester,01-01-13,498973,38,0.689,0.0652,0.689,0.836,0.382,0.261,-9.592,0.0282,132.952,4
276,Dance (Disco Heat),Step II,Sylvester,01-01-78,355263,36,0.768,0.007,0.768,0.79,0.186,0.0678,-10.469,0.0312,132.729,4
277,I Need You,Sell My Soul,Sylvester,1980,276373,32,0.743,0.404,0.743,0.756,0.0928,0.0919,-13.946,0.037,121.738,4
278,Don't Stop,Do Ya Wanna Funk,Sylvester,01-01-82,411853,32,0.744,0.0174,0.744,0.751,0.0002,0.502,-8.236,0.0511,129.837,4
279,Rock the Box,Rock the Box,Sylvester,01-01-84,300773,28,0.689,0.0102,0.689,0.725,0.382,0.108,-8.893,0.0448,124.257,4
280,Super Freak,Street Songs (Deluxe Edition),Rick James,07-04-81,205466,73,0.838,0.22,0.838,0.794,0,0.0575,-8.245,0.0531,132.446,4
281,Give It To Me Baby,Street Songs (Deluxe Edition),Rick James,07-04-81,248133,64,0.706,0.114,0.706,0.727,7.70E-05,0.174,-8.714,0.0456,119.55,4
282,Mary Jane,Come Get It! (Expanded Edition),Rick James,20-04-78,297346,63,0.537,0.256,0.537,0.82,1.93E-06,0.432,-7.011,0.127,94.429,4
283,Fire And Desire,Street Songs (Deluxe Edition),Rick James,07-04-81,437933,53,0.335,0.424,0.335,0.455,3.73E-06,0.109,-10.051,0.0371,82.046,4
284,Ghetto Life,Street Songs (Deluxe Edition),Rick James,07-04-81,261000,52,0.758,0.354,0.758,0.716,0,0.126,-8.609,0.0875,116.648,4
285,Ebony Eyes,Cold Blooded (Expanded Edition),Rick James,05-08-83,307640,50,0.522,0.147,0.522,0.536,0,0.123,-7.132,0.026,140.311,4
286,Cold Blooded,Cold Blooded (Expanded Edition),Rick James,05-08-83,359280,46,0.939,0.0172,0.939,0.487,0.0124,0.05,-7.641,0.153,117.637,4
287,Bustin' Out (On Funk),The Definitive Collection,Rick James,14-03-06,232626,43,0.726,0.181,0.726,0.698,1.04E-06,0.227,-9.761,0.109,102.955,4
288,You And I,Come Get It! (Expanded Edition),Rick James,20-04-78,486026,43,0.782,0.297,0.782,0.874,0.00327,0.572,-6.651,0.0759,119.378,4
289,Love Gun,The Definitive Collection,Rick James,14-03-06,237746,17,0.73,0.00473,0.73,0.896,0.00501,0.107,-8.796,0.0577,122.145,4
290,A Lover's Holiday - Single Version,The Glow of Love (Original Album and Rare Tracks),Change,1980,253053,53,0.934,0.0303,0.934,0.646,0.00614,0.0776,-5.727,0.228,116.351,4
291,Hold Tight - Full Length Album Mix,Miracles (Original Album and Rare Tracks),Change,1981,268653,52,0.767,0.257,0.767,0.79,1.01E-06,0.152,-5.495,0.0846,115.03,5
292,The Glow of Love,The Glow of Love (Original Album and Rare Tracks),Change,1980,373240,51,0.697,0.302,0.697,0.899,5.37E-06,0.168,-4.38,0.105,118.116,3
293,A Lover's Holiday - A Jim Burgess Mix,The Glow of Love (Original Album and Rare Tracks),Change,1980,384813,44,0.921,0.0287,0.921,0.607,0.0297,0.0837,-6.047,0.216,116.335,4
294,Searching,The Glow of Love (Original Album and Rare Tracks),Change,1980,483093,41,0.778,0.0405,0.778,0.683,0.00141,0.045,-6.849,0.0562,127.572,4
295,Heaven of My Life - Full Length Album Mix,Miracles (Original Album and Rare Tracks),Change,1981,338453,39,0.855,0.135,0.855,0.82,0.0005,0.167,-4.681,0.159,112.482,4
296,Change of Heart - Full Length Album Mix,Change of Heart (Original Album and Rare Tracks),Change,1984,426413,38,0.767,0.0131,0.767,0.859,0.00191,0.0377,-6.878,0.0611,107.383,4
297,Hold Tight - Long Version,Miracles (Original Album),Change,1981,311413,34,0.813,0.385,0.813,0.624,4.09E-05,0.0691,-11.528,0.0907,114.873,5
298,Hold Tight (Edit) - Remastered,The Glow of Love / Miracles (Special Expanded Edition),Change,04-01-13,237706,34,0.764,0.271,0.764,0.778,0,0.307,-5.924,0.0999,115.013,5
299,"Let's Go Together - 12"" Nuovi Fratelli Dance Mix","Let's Go Together (12"" Nuovi Fratelli Dance Mix)",Change,28-02-20,481400,33,0.788,0.0744,0.788,0.415,0.144,0.0724,-12.419,0.0791,98.408,4
300,This Old Heart Of Mine (Is Weak For You),This Old Heart Of Mine,The Isley Brothers,1966,172733,63,0.632,0.346,0.632,0.59,0,0.24,-10.206,0.0305,130.287,4
301,"Footsteps in the Dark, Pts. 1 & 2",Go for Your Guns,The Isley Brothers,21-08-77,306800,63,0.679,0.402,0.679,0.374,2.49E-05,0.0541,-10.565,0.0482,80.86,4
302,Between the Sheets,Between the Sheets,The Isley Brothers,21-08-83,340013,62,0.719,0.661,0.719,0.377,0,0.0902,-12.585,0.0974,83.919,4
303,It's Your Thing,It's Our Thing,The Isley Brothers,21-08-69,169293,62,0.376,0.0727,0.376,0.67,2.52E-06,0.0718,-9.273,0.0854,185.503,4
304,"Shout, Pts. 1 & 2",Shout!,The Isley Brothers,21-08-59,268560,62,0.489,0.753,0.489,0.866,0,0.876,-7.433,0.0933,138.63,4
305,Love the One You're With,Givin' It Back,The Isley Brothers,21-08-71,223520,61,0.75,0.367,0.75,0.78,2.67E-06,0.153,-7.861,0.036,94.864,4
306,Twist And Shout,Twist & Shout,The Isley Brothers,1962,155400,59,0.774,0.65,0.774,0.811,0,0.0736,-6.526,0.0355,123.351,4
307,"That Lady, Pts. 1 & 2",3+3,The Isley Brothers,21-08-73,334386,57,0.344,0.261,0.344,0.769,0.000122,0.335,-9.112,0.0606,126.318,4
308,"For the Love of You, Pts. 1 & 2",The Heat Is On,The Isley Brothers,21-08-75,339960,57,0.686,0.665,0.686,0.374,1.91E-05,0.101,-11.029,0.0439,102.879,4
309,"Summer Breeze, Pts. 1 & 2",3+3,The Isley Brothers,21-08-73,371706,56,0.31,0.212,0.31,0.629,0.00894,0.122,-10.057,0.0484,152.276,4
310,"Touch and Go - 12"" Version","Ecstasy, Passion & Pain","Ecstasy, Passion & Pain",12-07-05,305986,22,0.722,0.079,0.722,0.859,0.00142,0.0616,-7.741,0.147,113.332,4
311,Ask Me,"Ecstasy, Passion & Pain","Ecstasy, Passion & Pain",12-07-05,243426,18,0.722,0.0912,0.722,0.745,0.00147,0.111,-8.516,0.0475,116.727,4
312,Touch and Go,"Ecstasy, Passion & Pain","Ecstasy, Passion & Pain",12-07-05,259440,16,0.703,0.0488,0.703,0.62,0.000649,0.0447,-10.218,0.0689,110.211,4
313,Good Things Don't Last Forever,"Ecstasy, Passion & Pain","Ecstasy, Passion & Pain",12-07-05,220000,13,0.705,0.0299,0.705,0.681,2.49E-05,0.0588,-8.734,0.0829,119.89,4
314,Born to Lose You,"Ecstasy, Passion & Pain","Ecstasy, Passion & Pain",12-07-05,216960,11,0.535,0.238,0.535,0.404,4.23E-05,0.0847,-10.929,0.0437,124.032,3
315,I Wouldn't Give You Up,"Ecstasy, Passion & Pain","Ecstasy, Passion & Pain",12-07-05,205573,8,0.807,0.156,0.807,0.638,0.000121,0.0577,-9.206,0.0534,117.447,4
316,Don't Burn Your Bridges Behind You,"Ecstasy, Passion & Pain","Ecstasy, Passion & Pain",12-07-05,278346,7,0.724,0.297,0.724,0.489,1.90E-06,0.0691,-10.972,0.0593,117.943,4
317,I'll Do Anything for You,"Ecstasy, Passion & Pain","Ecstasy, Passion & Pain",12-07-05,183546,4,0.689,0.034,0.689,0.667,5.94E-06,0.0412,-9.547,0.0325,121.223,4
318,One Beautiful Day,"Ecstasy, Passion & Pain","Ecstasy, Passion & Pain",12-07-05,177213,4,0.748,0.0538,0.748,0.62,4.65E-06,0.0503,-9.284,0.0457,121.36,4
319,Dance the Night Away,"Ecstasy, Passion & Pain","Ecstasy, Passion & Pain",12-07-05,299600,3,0.684,0.0122,0.684,0.493,0,0.342,-10.099,0.0617,116.07,4
