,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
34,Jungle Boogie,Wild And Peaceful,Kool & The Gang,1973-09,186533,64,0.808,0.115,0.808,0.85,0.000109,0.316,-8.772,0.0868,106.855,4
35,Fresh,Emergency (Reissue),Kool & The Gang,15-11-84,266560,63,0.838,0.00912,0.838,0.381,0.0988,0.0364,-16.867,0.0351,117.708,4
36,Hollywood Swinging,Wild And Peaceful,Kool & The Gang,1973-09,279933,58,0.623,0.0195,0.623,0.824,0.13,0.0491,-8.971,0.0479,111.356,4
37,Summer Madness,Light Of Worlds,Kool & The Gang,1974-09,257866,55,0.303,0.00859,0.303,0.332,0.864,0.0654,-16.471,0.032,175.85,4
38,Get Down On It,Something Special,Kool & The Gang,1981,293666,57,0.847,0.0753,0.847,0.389,1.20E-05,0.0471,-15.362,0.0569,111.52,4
39,Ladies Night - Single Version,Celebration: The Best Of Kool & The Gang (1979-1987),Kool & The Gang,07-06-94,209706,56,0.668,0.215,0.668,0.596,5.23E-05,0.0621,-12.719,0.129,111.695,4
40,Give It Up,All In a Night's Work (Expanded Version),KC & The Sunshine Band,11-03-16,254240,66,0.862,0.0192,0.862,0.624,0.000153,0.0465,-11.63,0.0565,124.896,4
41,That's the Way (I Like It) - 2004 Remaster,KC & the Sunshine Band,KC & The Sunshine Band,06-07-75,185106,61,0.68,0.191,0.68,0.877,0.000656,0.349,-10.241,0.0353,108.674,4
42,Please Don't Go,Do You Wanna Go Party,KC & The Sunshine Band,1979,230440,60,0.445,0.00805,0.445,0.75,0,0.0358,-7.159,0.035,95.957,4
43,Boogie Shoes - 2004 Remaster,KC & the Sunshine Band,KC & The Sunshine Band,06-07-75,132040,53,0.931,0.496,0.931,0.801,0.379,0.0563,-10.725,0.0548,119.533,4
44,"(Shake, Shake, Shake) Shake Your Booty",Part 3,KC & The Sunshine Band,1976,185640,55,0.651,0.169,0.651,0.945,0.475,0.15,-7.922,0.0361,112.292,4
45,I'm Your Boogie Man,Part 3,KC & The Sunshine Band,1976,241920,55,0.765,0.0156,0.765,0.927,5.97E-06,0.0391,-5.715,0.0399,113.326,4
46,Get Down Tonight - 2004 Remaster,KC & the Sunshine Band,KC & The Sunshine Band,06-07-75,317160,53,0.671,0.137,0.671,0.776,0.00649,0.394,-11.414,0.0282,112.629,4
47,That's the Way (I Like It),The TK Years,KC & The Sunshine Band,09-03-09,306146,50,0.661,0.125,0.661,0.928,0.00277,0.345,-6.898,0.0441,108.587,4
48,Keep It Comin' Love,The Complete TK Albums,KC & The Sunshine Band,05-07-19,271493,43,0.773,0.232,0.773,0.721,1.61E-05,0.0349,-12.574,0.0294,110.383,4
49,Boogie Shoes,The TK Years,KC & The Sunshine Band,09-03-09,139800,39,0.935,0.458,0.935,0.883,0.203,0.0613,-7.876,0.0523,113.996,4
50,Disco Inferno - Single Edit,Rhino Hi-Five: The Trammps,The Trammps,20-09-05,191573,64,0.766,0.0261,0.766,0.844,0.605,0.18,-3.851,0.0361,129.323,4
51,"Disco Inferno - LP / 12"" Version",Disco Inferno,The Trammps,1976,659000,51,0.799,0.0293,0.799,0.632,0.359,0.103,-12.364,0.0332,128.567,4
52,Shout,Trammps,The Trammps,1975,210933,44,0.75,0.219,0.75,0.836,0,0.149,-6.704,0.0999,127.62,4
